comment,source,cleaned_comment,final_label
"Okkk lắm á, nên nghỉ ở đây nha dù xa trung tâm nhma có bãi biển gằn đó rất chill ạ",booking,"tốt lắm á , nên nghỉ ở đây nha dù xa trung_tâm nhma có bãi biển gằn đó rất chill ạ",positive
Sạch sẽ,booking,sạch_sẽ,positive
"Chỗ nghỉ sạch sẽ, thoáng mát, tiện nghi.",booking,"chỗ nghỉ sạch_sẽ , thoáng mát , tiện_nghi .",positive
Có hồ bơi vừa tắm biển vừa tắm hồ bơi,booking,có hồ bơi vừa tắm biển vừa tắm hồ bơi,positive
Giá ok mb chung,booking,giá tốt mb chung,positive
"Rộng, thoáng, hồ bơi to gần biển nên tắm rất thoải mái, phòng cũng sạch sẽ",booking,"rộng , thoáng , hồ bơi to gần biển nên tắm rất thoải_mái , phòng cũng sạch_sẽ",positive
"Không gian, tiện nghi, và thuận tiện di chuyển ra biển tắm",booking,"không_gian , tiện_nghi , và thuận_tiện di_chuyển ra biển tắm",positive
"🌴 Đánh giá 5★ cho khu nghỉ dưỡng tuyệt vời!
Mình thật sự hài lòng sau kỳ nghỉ tại đây. Khu nghỉ dưỡng sạch sẽ, thoáng mát và sát biển, cực kỳ thuận tiện để đi dạo ngắm bình minh hoặc tắm biển sáng sớm.
💚 Nhân viên, bếp và bảo vệ đều rất dễ thương, nhiệt tình và thân thiện, luôn hỗ trợ khách một cách chu đáo.
🚗 Chỗ để xe hơi rộng rãi, mát mẻ, xung quanh là hàng dừa tạo cảm giác thư giãn, gần gũi với thiên nhiên.
🍳 Bữa sáng ngon miệng, đa dạng món và được chuẩn bị sạch sẽ. Ở bất kỳ khu vực nào cũng cảm nhận được sự ngăn nắp và vệ sinh tuyệt đối.
Tóm lại, số tiền bỏ ra hoàn toàn xứng đáng cho chất lượng dịch vụ và không gian nơi đây.
👉 Chắc chắn mình sẽ quay lại và giới thiệu cho bạn bè, người thân!",booking,"đánh_giá 5 cho khu nghỉ_dưỡng tuyệt_vời ! mình thật_sự hài_lòng sau kỳ nghỉ tại đây . khu nghỉ_dưỡng sạch_sẽ , thoáng mát và sát biển , cực_kỳ thuận_tiện để đi dạo ngắm bình_minh hoặc tắm biển sáng sớm . nhân_viên , bếp và bảo_vệ đều rất dễ_thương , nhiệt_tình và thân_thiện , luôn hỗ_trợ khách một_cách chu_đáo . chỗ để xe_hơi rộng_rãi , mát_mẻ , xung_quanh là hàng dừa tạo cảm_giác_thư giãn , gần_gũi với thiên_nhiên . bữa sáng ngon_miệng , đa_dạng món và được chuẩn",positive
"Do đi mùa thấp điểm nên KS có up lên phòng lớn hơn cho mình, phòng sạch sẽ, đẹp, tiện nghi. 
Hồ bơi sạch
Ăn sáng rất ngon, nhân viên tận tình, thân thiện",booking,"do đi mùa thấp_điểm nên khách_sạn có up lên phòng lớn hơn cho mình , phòng sạch_sẽ , đẹp , tiện_nghi . hồ bơi sạch ăn sáng rất ngon , nhân_viên tận_tình , thân_thiện",positive
"Khách sạn sạch sẽ, mền gối thơm tho, không khí xung quanh yên tĩnh, rất chill kiểu không khí resort. Bữa sáng tuy không nhiều món nhưng rất ngon, món bún rêu cua rất ngon, 10 điểm cho ăn sáng.",booking,"khách_sạn sạch_sẽ , mền gối thơm_tho , không_khí xung_quanh yên_tĩnh , rất chill kiểu không_khí resort . bữa sáng tuy không nhiều món nhưng rất ngon , món bún rêu cua rất ngon , 10 điểm cho ăn sáng .",positive
"Quá tuyệt vời! tôi đã đc up hạnh phòng free, giá hợp lý, dịch vụ tuyệt vời, nhân viên thân thiện, 10 điểm cộng….!",booking,"quá tuyệt_vời ! tôi đã được up hạnh phòng free , giá hợp_lý , dịch_vụ tuyệt_vời , nhân_viên thân_thiện , 10 điểm cộng . !",positive
"Không khí tốt, nhân viên thân thiện",booking,"không_khí tốt , nhân_viên thân_thiện",positive
"Phòng rộng rãi và sach sẽ, mình được up hạng phòng miễn phí",booking,"phòng rộng_rãi và sach sẽ , mình được up hạng phòng miễn_phí",positive
"Bữa sáng ở mức tốt so với tầm giá. Tuy nhiên cafe không hợp khẩu vị cá nhân mình. Bể bơi tương đối lớn, nước khá sạch, tuy nhiên họ cho mở lớp dạy bơi ở đây.",booking,"bữa sáng ở mức tốt so với tầm giá . tuy_nhiên cafe không hợp_khẩu_vị cá_nhân mình . bể_bơi tương_đối lớn , nước khá sạch , tuy_nhiên họ cho mở lớp dạy bơi ở đây .",neutral
"Nơi ơ ̉ rất tuyệt, dể dàng dạo vài bước chân ra đến biển. Không gian thoáng mát hài hòa giữa hiện đại và cổ điển. Thật là kỳ nghỉ dưỡng đầy ý nghĩa.",booking,"nơi ơ rât tuyêt , dê dang dạo vai bươc chân ra đên biên . không_gian thoang mat hài hoa giưa hiên đai va cô điên . thât la kỳ nghi dương đây ý nghia .",positive
Vị trí gần trung tâm và bờ biển. Phòng còn mới và sạch sẽ,booking,vị_trí gần trung_tâm và bờ biển . phòng còn mới và sạch_sẽ,positive
"Vị trí thuận lợi, nhân viên ok, phòng đẹp",booking,"vị_trí thuận_lợi , nhân_viên ok , phòng đẹp",positive
Bảo vệ ca tối ko thoải mái,booking,bảo_vệ ca tối không thoải_mái,negative
Cô chú thân thiện,booking,cô chú thân_thiện,positive
"Cô chú dễ thương, nhiệt tình",booking,"cô chú dễ_thương , nhiệt_tình",positive
"Gần biển, đi bộ là tới. Có nước nóng lạnh, máy lạnh mát.",booking,"gần biển , đi bộ là tới . có nước nóng lạnh , máy_lạnh mát .",positive
"Bác chủ nhà hiếu khách, vui tính. Bác cũng trò chuyện nhiệt tình, thoải mái. Nhà sạch sẽ",booking,"bác chủ nhà hiếu_khách , vui_tính . bác cũng trò_chuyện nhiệt_tình , thoải_mái . nhà sạch_sẽ",positive
"Cô chú chủ nhà rất thân thiện, vui vẻ, nhiệt tình",booking,"cô chú chủ nhà rất thân_thiện , vui_vẻ , nhiệt_tình",positive
"Cô chú chủ nhà rất nhiệt tình, phòng sạch sẽ, đủ tiện nghi",booking,"cô chú chủ nhà rất nhiệt_tình , phòng sạch_sẽ , đủ tiện_nghi",positive
Sạch sẽ,booking,sạch_sẽ,positive
"cô chú chủ rất hiếu khách nhiệt tình thân thiện , yên tĩnh, decor nhìn như về nhà",booking,"cô chú chủ rất hiếu_khách nhiệt_tình thân_thiện , yên_tĩnh , decor nhìn như về nhà",positive
"cô chú rất dễ thương, nhiệt tình, phòng gọn gàng, sạch sẽ, thoải mái sử dụng ban công nhưng cách âm chưa được tốt thôi, mọi thứ còn lại đều okeeee, bạn nào muốn ở lầu cao thì chịu khó leo cầu thang nhiaaa tại ko có thang máy nhưng bù lại mình có ko gian yên tĩnh và sd ban công thoải mái nỳyyyy",booking,"cô chú rất dễ_thương , nhiệt_tình , phòng gọn_gàng , sạch_sẽ , thoải_mái sử_dụng ban_công nhưng cách_âm chưa được tốt thôi , mọi thứ còn lại đều oke , bạn nào muốn ở lầu cao thì chịu_khó leo cầu_thang nhia tại không có thang_máy nhưng bù lại mình có không_gian yên_tĩnh và sd ban_công thoải_mái nỳy",positive
"Phòng sạch, cô chủ nhiệt tình",booking,"phòng sạch , cô chủ nhiệt_tình",positive
Cô chú chủ rất ok,booking,cô chú chủ rất tốt,positive
Khá ổn,booking,khá ổn,positive
"gần bãi sau chỉ cách 5-6p đi bộ, gần circle K",booking,"gần bãi sau chỉ cách 5 - 6p đi bộ , gần circle không",neutral
"Vị trí gần biển, dễ đi lại và thời gian thoải mái",booking,"vị_trí gần biển , dễ đi_lại và thời_gian thoải_mái",positive
"Phòng đẹp sạch sẽ đủ tiện nghi, ông bà chủ dễ thương",booking,"phòng đẹp sạch_sẽ đủ tiện_nghi , ông_bà chủ dễ_thương",positive
Cô chú rất thân thiện ạ,booking,cô chú rất thân_thiện ạ,positive
"Bãi biển, hồ bơi đẹp. Phòng tiện nghi. Mình đi đầu tuần nhưng buffet sáng vẫn rất đầy đủ và chất lượng.",booking,"bãi biển , hồ bơi đẹp . phòng tiện_nghi . mình đi đầu tuần nhưng buffet sáng vẫn rất đầy_đủ và chất_lượng .",positive
"Bữa sáng không đa dạng, buffet không có nhiều món mặc dù là đặt cuối tuần ngay chủ nhật nhưng rất ít món",booking,"bữa sáng không đa_dạng , buffet không có nhiều món mặc_dù là đặt cuối tuần ngay chủ_nhật nhưng rất ít món",negative
"Phòng rộng, thoải mái và sạch sẻ",booking,"phòng rộng , thoải_mái và sạch sẻ",positive
Mọi thứ đều tuyệt vời,booking,mọi thứ đều tuyệt_vời,positive
"Không gian thoáng, đẹp. Nhân viên phục vụ chu đáo!",booking,"không_gian thoáng , đẹp . nhân_viên phục_vụ chu_đáo !",positive
"Ăn sáng nhiều món, tuyệt vời. Chỗ nghĩ tiện nghi gần các khu ăn uống và tham quan.",booking,"ăn sáng nhiều món , tuyệt_vời . chỗ nghĩ tiện_nghi gần các khu ăn_uống và tham_quan .",positive
"Thoáng mát, sạch sẽ va dịch vụ tốt",booking,"thoáng mát , sạch_sẽ va dịch_vụ tốt",positive
"Phòng sạch đẹp, khu vực yên tỉnh, buffet ngon, vào dịp cuối tuần nên khách đông, thức ăn đa dạng được tiếp thường xuyên. Hoạt động ngoài trời khá ít, phòng kid nhỏ. Gọi món lên phòng chờ hơi lâu, nhưng khá ngon, ok.",booking,"phòng sạch đẹp , khu_vực yên tỉnh , buffet ngon , vào dịp cuối tuần nên khách đông , thức_ăn đa_dạng được tiếp thường_xuyên . hoạt_động ngoài_trời khá ít , phòng kid nhỏ . gọi món lên phòng chờ hơi lâu , nhưng khá ngon , ok .",positive
"Có đầy đủ tiện nghi, hồ bơi, xe đạp, …",booking,"có đầy_đủ tiện_nghi , hồ bơi , xe_đạp ,",positive
Cô Chú rất nhiệt tình và vui vẻ,booking,cô chú rất nhiệt_tình và vui_vẻ,positive
"ông bà chủ nhà dễ thương lắm nè, chỗ ở sạch sẽ",booking,"ông_bà chủ nhà dễ_thương lắm nè , chỗ ở sạch_sẽ",positive
"Cô chú cực dễ thương , hỗ trợ cho nhóm mình rất nhiệt tình . Cho tụi mình nhận phòng sớm nữa . Mn có đi thì nhớ trải nghiệm thử phòng ở đây nha",booking,"cô chú cực dễ_thương , hỗ_trợ cho nhóm mình rất nhiệt_tình . cho tụi mình nhận phòng sớm nữa . mọi người có đi thì nhớ trải nghiệm thử phòng ở đây nha",positive
Ông bà dễ thương chu đáo,booking,ông_bà dễ_thương chu_đáo,positive
"Khách sạn sạch sẽ, nhân viên nhiệt tình, dễ thương. Gần biển . Lần sau sẽ quay lại ạ 🥰",booking,"khách_sạn sạch_sẽ , nhân_viên nhiệt_tình , dễ_thương . gần biển . lần sau sẽ quay lại ạ",positive
"Sạch sẽ, tiện nghi...",booking,"sạch_sẽ , tiện_nghi ...",positive
Phong nghi thoang mat,booking,phong nghi thoang mat,positive
Phòng nghỉ sạch sẽ,booking,phòng nghỉ sạch_sẽ,positive
Sạch sẽ,booking,sạch_sẽ,positive
Tiện nghi,booking,tiện_nghi,positive
"không gian bên ngoài , đồ ăn ngon",booking,"không_gian bên ngoài , đồ ăn ngon",positive
"View biển đẹp ! Nội thất tiện nghi chuẩn ! Ăn sáng ngon ! 
Ấn tượng Mùi thơm của sảnh chào đón",booking,view biển đẹp ! nội_thất tiện_nghi chuẩn ! ăn sáng ngon ! ấn_tượng mùi thơm của sảnh chào_đón,positive
"Bữa sáng đầu tiên tại Ks thì món ăn k quá đặc sắc nhưng bữa sáng ngày hôm sau thì có vẻ ngon và đặc sắc hơn trước , yên tĩnh đúng kiểu nghĩ dưỡng , đi được vài lần tại đây và trong tương lai sẽ quay lại",booking,"bữa sáng đầu_tiên tại khách_sạn thì món ăn không quá đặc_sắc nhưng bữa sáng ngày hôm sau thì có vẻ ngon và đặc_sắc hơn trước , yên_tĩnh đúng kiểu nghĩ dưỡng , đi được vài lần tại đây và trong tương_lai sẽ quay lại",positive
To,booking,to,negative
"Khách sạn rộng, nhiều hồ bơi, nhân viên thân thiện và hỗ trợ, đặc biệt Ms. Tâm/Trâm FO team, F&B team từ bạn quản lý đến nhân viên (breakfast & lunch) đã hỗ trợ nhiều cho gia đình mình.",booking,"khách_sạn rộng , nhiều hồ bơi , nhân_viên thân_thiện và hỗ_trợ , đặc_biệt ms . tâm / trâm fo team , fb team từ bạn quản_lý đến nhân_viên breakfast lunch đã hỗ_trợ nhiều cho gia_đình mình .",positive
"Đủ tiện nghi, khu phức hợp có đầy đủ mọi thứ giải trí vui chơi ăn uống xem phim,… nhân viên ok",booking,"đủ tiện_nghi , khu phức_hợp có đầy_đủ mọi thứ giải_trí vui_chơi ăn_uống xem phim , nhân_viên tốt",positive
nhân viên rất nhiệt tình,booking,nhân_viên rất nhiệt_tình,positive
ok,booking,tốt,positive
Tuyệt vời,booking,tuyệt_vời,positive
"Nhân viên nhiệt tình, ưu tiên cho bà bầu check in sớm",booking,"nhân_viên nhiệt_tình , ưu_tiên cho bà bầu check in sớm",positive
Không gian,booking,không_gian,neutral
"Ks đẹp, Rộng rãi và sạch sẽ, nhân viên rất thân thiện, nhiệt tình.",booking,"khách_sạn đẹp , rộng_rãi và sạch_sẽ , nhân_viên rất thân_thiện , nhiệt_tình .",positive
Ăn sáng to,booking,ăn sáng to,neutral
"Tiện nghi, mới sạch đẹp. Dịch vụ tốt.",booking,"tiện_nghi , mới sạch đẹp . dịch_vụ tốt .",positive
Hồ bơi nước sạch,booking,hồ bơi nước_sạch,positive
"khuôn viện rộng rãi, phù hợp với gia đình nghỉ dưỡng có bé nhỏ.",booking,"khuôn viện rộng_rãi , phù_hợp với gia_đình nghỉ_dưỡng có bé_nhỏ .",positive
"Bố trí địa điểm ăn, tắm phù hợp, thoải mái. Nhân viên nhanh nhẹn, thân thiện, tinh tế, hỗ trợ cả khi KH chưa yêu cầu",booking,"bố_trí địa_điểm ăn , tắm phù_hợp , thoải_mái . nhân_viên nhanh_nhẹn , thân_thiện , tinh_tế , hỗ_trợ cả khi không chưa yêu_cầu",positive
Phòng có ban công mà rẻ đặt có 250k hà đợt tới chắc ở tiếp,booking,phòng có ban_công mà rẻ đặt có 250k hà đợt tới chắc ở tiếp,positive
"Cô chủ nhiệt tình, dễ thương",booking,"cô chủ nhiệt_tình , dễ_thương",positive
Phòng sạch sẽ thoáng mát gần biển giá cả hợp lý đáng để trải nghiệm 🥰,booking,phòng sạch_sẽ thoáng mát gần biển giá_cả hợp_lý đáng để trải nghiệm,positive
"Lễ tân thân thiện, dễ mến",booking,"lễ_tân thân_thiện , dễ mến",positive
"Phòng sạch sẽ , nhân viên dễ thương siêu nhiệt tình , giá tốt so với các khách sạn , phòng thơm. Đi dịp gần 20/10 phòng còn được tặng trà trái cây cho nữ ( trà ngon nha ko phải dc tặng mà mình khen đâu nha)",booking,"phòng sạch_sẽ , nhân_viên dễ_thương siêu nhiệt_tình , giá tốt so với các khách_sạn , phòng thơm . đi dịp gần 20 / 10 phòng còn được tặng trà trái_cây cho nữ trà ngon nha không phải được tặng mà mình khen đâu nha",positive
"Ấn tượng ban đầu của mình về khách sạn là cực kỳ tốt — vừa sạch sẽ, vừa thơm. Thơm từ ngoài vào trong, thậm chí cả trong toilet luôn! Mình thật sự thấy khách sạn này quá đỉnh.
Mình đặt phòng với giá chỉ 320.000đ, nghe lễ tân nói là đang có chương trình khuyến mãi 3 tháng cuối năm nên giá siêu rẻ, mà phòng lại rất xịn. Có cả bếp riêng, kệ bếp đầy đủ, tủ lạnh lớn nữa. Tuy chỉ có sẵn vài vật dụng cơ bản để ăn thôi, nhưng nếu muốn nấu thì chỉ cần báo lễ tân là họ sẽ mang thêm cho.
Nhân viên cực kỳ nhiệt tình, phòng có bàn ghế ăn, bàn trang điểm, tủ quần áo,… tất cả đều giống hệt như trong hình. Cách âm cũng khá ổn, chỉ có buổi đêm nghe tiếng nhỏ nhỏ, không rõ là tiếng máy gì thôi.
Tổng thể, mình rất hài lòng và chắc chắn sẽ quay lại! 
My first impression of the hotel was absolutely amazing — it was both clean and pleasantly fragrant. The fresh scent filled every corner, even the toilet! I honestly think this hotel is top-notch.
I booked my room for only 320,000 VND. The receptionist said they’re running a special promotion for the last three months of the year, so the price is super affordable, yet the room is still very high-quality. It even has a private kitchen with full shelves and a large refrigerator. There are only a few basic utensils provided for eating, but if you want to cook, just inform the front desk and they’ll bring you more.
The staff were extremely friendly and helpful. The room had a dining table, a dressing table, a wardrobe, and everything looked exactly like the pictures. The soundproofing was quite good too — just heard a faint noise at night, not sure what machine it was.
Overall, I’m really satisfied and would definitely come back!",booking,"ấn_tượng ban_đầu của mình về khách_sạn là cực_kỳ tốt vừa sạch_sẽ , vừa thơm . thơm từ ngoài vào trong , thậm_chí cả trong toilet luôn ! mình thật_sự thấy khách_sạn này quá đỉnh . mình đặt phòng với giá chỉ 320.000 đ , nghe lễ_tân nói là đang có chương_trình khuyến_mãi 3 tháng cuối năm nên giá siêu rẻ , mà phòng lại rất xịn . có cả bếp riêng , kệ bếp đầy_đủ , tủ_lạnh lớn nữa . tuy chỉ có sẵn vài vật_dụng cơ_bản để ăn thôi , nhưng nếu muốn nấu thì chỉ cần",positive
"Nhân viên nhiệt tình , dễ thương, phòng sạch sẽ",booking,"nhân_viên nhiệt_tình , dễ_thương , phòng sạch_sẽ",positive
"Sạch sẽ, khách sạn có thang máy, nước nóng lạnh đầy đủ",booking,"sạch_sẽ , khách_sạn có thang_máy , nước nóng lạnh đầy_đủ",positive
"Phòng ốc đều ổn với giá, TV kết nối wifi khá chậm và lag, mình không biết bây giờ đã khắc phục chưa, nói chung trong tầm giá thì k đòi hỏi thêm, bù lại lễ tân ở đây rất nhiệt tình dễ thương",booking,"phòng_ốc đều ổn với giá , tv kết_nối wifi khá chậm và lag , mình không biết bây_giờ đã khắc_phục chưa , nói_chung trong tầm giá thì không đòi_hỏi thêm , bù lại lễ_tân ở đây rất nhiệt_tình dễ_thương",neutral
"Mọi thứ đều rất ổn, đầy đủ tiện nghi, nhân viên thân thiện",booking,"mọi thứ đều rất ổn , đầy_đủ tiện_nghi , nhân_viên thân_thiện",positive
Nhân viên nhiệt tình siêuuuuuu dthw,booking,nhân_viên nhiệt_tình siêu dthw,positive
"Chủ ks rất vui vẻ, luôn hỗ trợ.",booking,"chủ_khách_sạn rất vui_vẻ , luôn hỗ_trợ .",positive
Vị trí ngay trên đường Phan Chu Trinh thoáng mát mà đi ra phố hay biển đều được.,booking,vị_trí ngay trên đường phan chu trinh thoáng mát mà đi ra phố hay biển đều được .,positive
"Sạch sẽ, thoáng mát",booking,"sạch_sẽ , thoáng mát",positive
phòng đẹp,booking,phòng đẹp,positive
"Mọi thứ đều rất tốt, nhân viên và bảo vệ thân thiện, hồ bơi sạch đẹp, phòng đầy đủ tiện nghi",booking,"mọi thứ đều rất tốt , nhân_viên và bảo_vệ thân_thiện , hồ bơi sạch đẹp , phòng đầy_đủ tiện_nghi",positive
"Không gian thoải mái, sạch sẽ . Có ban công rất chill . Nhân viên cũng rất nhiệt tình hỗ trợ các đỉa điểm ăn uống tại VT. Đối diện cũng có quán ăn nên khá là tiện lợi.",booking,"không_gian thoải_mái , sạch_sẽ . có ban_công rất chill . nhân_viên cũng rất nhiệt_tình hỗ_trợ các đỉa điểm ăn_uống tại vt . đối_diện cũng có quán ăn nên khá là tiện_lợi .",positive
"Đây là lần thứ hai gia đình mình chọn Seahouse cho kỳ nghỉ hè tại Vũng Tàu. Thích nhất là decor ở đây từ không gian tổng quan của khu nhà nghỉ, đến chi tiết từng phòng: khách, p. ngủ, bếp, nhà vệ sinh đều có không gian riêng, tươi và đầy đủ tiện nghi cần thiết như ấm nước, chén bát, bếp điện, nồi , máy sấy tóc mini,... Khi khát thí có sẵn nước suối (free nha), nước ngọt thì giá hợp lý, có sẵn mì ly nữa,... Điểm ấn tượng tại đây nữa là khu vực hồ bơi, rộng, đều có phân biệt chỗ tắm cho trẻ em, người lớn, có chú thích độ cao mức nước rõ ràng, bé nhà mình rất mê tắm hồ ở đây, nước mát và trong lắm, không bị mùi. Ban đêm ở đây rất yên tĩnh, người lớn tuổi dễ ngủ nữa, không ồn ào. Địa điểm nằm ngay trên đường  Võ Thị Sáu nên rất dễ tìm, đậu xe, và thuận tiện để đi tham qua VT, ra Bãi Sau gần, qua quán Bánh Khọt Cô Ba cũng gần, Hủ tíu mực, Quán ốc, Bánh Canh ghẹ , ... Nói chung, lần sau lại tiếp tục chọn nơi này cho kỳ nghỉ tại Vũng Tàu.",booking,"đây là lần thứ hai gia_đình mình chọn seahouse cho kỳ nghỉ_hè tại vũng_tàu . thích nhất là decor ở đây từ không_gian tổng_quan của khu nhà_nghỉ , đến chi_tiết từng phòng khách , p . ngủ , bếp , nhà vệ_sinh đều có không_gian riêng , tươi và đầy_đủ tiện_nghi cần_thiết như ấm nước , chén bát , bếp điện , nồi , máy_sấy_tóc mini , ... khi khát_thí có sẵn nước suối free nha , nước_ngọt thì giá hợp_lý , có sẵn mì ly nữa , ... điểm ấn_tượng tại đây nữa là khu_vực hồ",positive
"phòng rộng rãi, sạch sẽ, giường êm.",booking,"phòng rộng_rãi , sạch_sẽ , giường êm .",positive
Sạch sẽ,booking,sạch_sẽ,positive
View,booking,view,positive
"Không gian thoáng, view đẹp, hồ bơi sạch sẽ. Dịch vụ tốt, nhân viên thân thiện",booking,"không_gian thoáng , view đẹp , hồ bơi sạch_sẽ . dịch_vụ tốt , nhân_viên thân_thiện",positive
Đẹp,booking,đẹp,positive
"không gian phòng đẹp, có hồ bơi, chú bảo vệ thân thiện, gần mấy quán ăn",booking,"không_gian phòng đẹp , có hồ bơi , chú bảo_vệ thân_thiện , gần mấy quán ăn",positive
"Phòng cực kì sạch và thơm, wc đầy đủ đồ dùng tiện nghi, cách âm tốt",booking,"phòng cực_kì sạch và thơm , wc đầy_đủ đồ_dùng tiện_nghi , cách_âm tốt",positive
"Phòng sạch, tiện nghi đầy đủ",booking,"phòng sạch , tiện_nghi đầy_đủ",positive
"Phòng đẹp, sạch sẽ tiện nghi. Sẽ ghé lại",booking,"phòng đẹp , sạch_sẽ tiện_nghi . sẽ ghé lại",positive
"Phòng quá ổn với giá luôn, sạch sẽ, đầy đủ tiện nghi tủ lạnh máy giặt máy sấy bếp lò vi sóng.., thoáng đẹp xĩu, lễ tân hỗ trợ siêu nhiệt tình chu đáo lắmm, nói chung lần đầu ở như này quá ưng ý",booking,"phòng quá ổn với giá luôn , sạch_sẽ , đầy_đủ tiện_nghi tủ_lạnh máy_giặt máy_sấy bếp lò vi_sóng . . , thoáng đẹp xĩu , lễ_tân hỗ_trợ siêu nhiệt_tình chu_đáo lắmm , nói_chung lần đầu ở như này quá ưng_ý",positive
"Gần trung tâm, giá tốt, nhân viên lịch sự",booking,"gần trung_tâm , giá tốt , nhân_viên lịch_sự",positive
"Sạch sẽ, gần biển",booking,"sạch_sẽ , gần biển",positive
Nhân viên nhiệt tình dễ thương. Chỗ ở sạch sẽ. Giá phòng hợp lý rẻ,booking,nhân_viên nhiệt_tình dễ_thương . chỗ ở sạch_sẽ . giá phòng hợp_lý rẻ,positive
"Chỗ nghỉ sạch sẽ, tiện nghi",booking,"chỗ nghỉ sạch_sẽ , tiện_nghi",positive
View đẹp. Nhân viên dễ thương. Lần thứ 2 quay lại vì view phòng quá đẹp,booking,view đẹp . nhân_viên dễ_thương . lần thứ 2 quay lại vì view phòng quá đẹp,positive
"Khách sạn nhỏ, tiện nghi mới, sạch sẽ. Nằm gần bãi Dâu, cuối đường Trần Phú nên khá yên tĩnh. Có khu đậu xe riêng biệt. Có hồ bơi vô cực.",booking,"khách_sạn nhỏ , tiện_nghi mới , sạch_sẽ . nằm gần bãi dâu , cuối đường trần phú nên khá yên_tĩnh . có khu đậu xe riêng_biệt . có hồ bơi vô_cực .",positive
Gần núi và biển.,booking,gần núi và biển .,neutral
"Phòng rộng rãi, vị trí khá tốt nếu không muốn ở khu đông đúc, cây xanh nhiều",booking,"phòng rộng_rãi , vị_trí khá tốt nếu không muốn ở khu đông_đúc , cây_xanh nhiều",positive
Ks quá ok với giá tiền bình dân,booking,khách_sạn quá tốt với giá tiền bình_dân,positive
Yên tĩnh,booking,yên_tĩnh,positive
Yên tĩnh,booking,yên_tĩnh,positive
"Phòng sạch sẽ, thoải mái. Sáng có quầy cf, nước cam free. Gần bến phà vũng tàu - cần giờ. Xung quanh nhiều quán cafe, bước ra là thấy biển, chổ checkin ❤️",booking,"phòng sạch_sẽ , thoải_mái . sáng có quầy cf , nước cam free . gần bến phà vũng_tàu - cần giờ . xung_quanh nhiều quán cafe , bước ra là thấy biển , chổ checkin",positive
Các bạn ở lễ tân và các bộ phận phục vụ nhiệt tình,booking,các bạn ở lễ_tân và các bộ_phận phục_vụ nhiệt_tình,positive
"Sạch sẽ, đồ ăn sáng đa dạng, nhân viên thân thiện",booking,"sạch_sẽ , đồ ăn sáng đa_dạng , nhân_viên thân_thiện",positive
"thức ăn ngon, sạch sẽ",booking,"thức_ăn ngon , sạch_sẽ",positive
Tận tình của lễ tân,booking,tận_tình của lễ_tân,positive
"Nhân viên rất thân thiện, lịch sự, nhiệt tình hỗ trợ khách. Chỗ nghĩ gần chợ Hải sản Xóm Lưới và cũng gần bãi biển, công viên, nhà hàng, quán cà phê…",booking,"nhân_viên rất thân_thiện , lịch_sự , nhiệt_tình hỗ_trợ khách . chỗ nghĩ gần chợ hải_sản xóm lưới và cũng gần bãi biển , công_viên , nhà_hàng , quán cà_phê",positive
Tốt,booking,tốt,positive
Không sử dụng.,booking,không sử_dụng .,negative
"Nhân viên nhiệt tình, ăn sáng ngon miệng . Sẽ book palace cho lần kế tiếp",booking,"nhân_viên nhiệt_tình , ăn sáng ngon_miệng . sẽ book palace cho lần kế_tiếp",positive
"Thích thiết kế nội thất , tiện nghi và dịch vụ. Nhân viên rất thân thiện   , giường và drap rất sạch sẽ, làm bằng vật liệu rất tốt, buffer sáng ngon , có nhiều dịch vụ như hồ bơi, spa, sân quần vợt. Khách sạn này có nhiều món đồ nội thất cổ rất đáng chú ý. Sẽ chọn khách sạn này nếu đi Vũng Tàu.",booking,"thích thiết_kế nội_thất , tiện_nghi và dịch_vụ . nhân_viên rất thân_thiện , giường và drap rất sạch_sẽ , làm_bằng vật_liệu rất tốt , buffer sáng ngon , có nhiều dịch_vụ như hồ bơi , spa , sân quần_vợt . khách_sạn này có nhiều món đồ nội_thất_cổ rất đáng chú_ý . sẽ chọn khách_sạn này nếu đi vũng_tàu .",positive
Vị trí,booking,vị_trí,neutral
"Chổ nghĩ sạch sẽ, được nhận phòng sớm khi đến, phòng rộng, vị trí tốt, có thể đi bộ gần bãi tắm công viên bãi trước, hồ bơi sạch sẽ, ăn sáng buffet được, nhân viên thân thiện",booking,"chổ nghĩ sạch_sẽ , được nhận phòng sớm khi đến , phòng rộng , vị_trí tốt , có_thể đi bộ gần bãi_tắm công_viên bãi trước , hồ bơi sạch_sẽ , ăn sáng buffet được , nhân_viên thân_thiện",positive
"Vị trí khách sạn rộng rãi, có chỗ đậu ô tô thỏa mái, ăn sáng buffet tương đối ổn",booking,"vị_trí khách_sạn rộng_rãi , có chỗ đậu ô_tô thỏa_mái , ăn sáng buffet tương_đối ổn",positive
"Sạch sẽ tiện nghi, gần trung tâm, nhân viên nhiệt tình thân thiện. Đáng giá tiền",booking,"sạch_sẽ tiện_nghi , gần trung_tâm , nhân_viên nhiệt_tình thân_thiện . đáng_giá tiền",positive
"Phòng phù hợp với giá tiền, đầy đủ tiện nghi. Các bạn lễ tân nhiệt tình, thân thiện.",booking,"phòng phù_hợp với giá tiền , đầy_đủ tiện_nghi . các bạn lễ_tân nhiệt_tình , thân_thiện .",positive
Tuyệt,booking,tuyệt,positive
